100,0.02,0.00
200,0.07,0.00
300,0.15,0.00
400,0.27,0.00
500,0.42,0.00
600,0.61,0.00
700,0.83,0.00
800,1.09,0.00
900,1.38,0.00
1000,1.72,0.01
1100,2.08,0.00
1200,2.49,0.01
1300,2.93,0.00
1400,3.41,0.00
1500,3.94,0.01
